,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
2,3,Grumpier Old Men (1995),Comedy|Romance
5,6,Heat (1995),Action|Crime|Thriller
9,10,GoldenEye (1995),Action|Adventure|Thriller
10,11,"American President, The (1995)",Comedy|Drama|Romance
15,16,Casino (1995),Crime|Drama
24,25,Leaving Las Vegas (1995),Drama|Romance
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,34,Babe (1995),Children|Drama
35,36,Dead Man Walking (1995),Crime|Drama
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
61,62,Mr. Holland's Opus (1995),Drama
68,69,Friday (1995),Comedy
81,82,Antonia's Line (Antonia) (1995),Comedy|Drama
82,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
102,104,Happy Gilmore (1996),Comedy
108,110,Braveheart (1995),Action|Drama|War
110,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
114,116,Anne Frank Remembered (1995),Documentary
123,125,Flirting With Disaster (1996),Comedy
139,141,"Birdcage, The (1996)",Comedy
143,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
145,147,"Basketball Diaries, The (1995)",Drama
148,150,Apollo 13 (1995),Adventure|Drama|IMAX
149,151,Rob Roy (1995),Action|Drama|Romance|War
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
154,156,Blue in the Face (1995),Comedy|Drama
159,161,Crimson Tide (1995),Drama|Thriller|War
163,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,168,First Knight (1995),Action|Drama|Romance
168,170,Hackers (1995),Action|Adventure|Crime|Thriller
174,176,Living in Oblivion (1995),Comedy
183,185,"Net, The (1995)",Action|Crime|Thriller
192,194,Smoke (1995),Comedy|Drama
196,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
212,214,Before the Rain (Pred dozhdot) (1994),Drama|War
214,216,Billy Madison (1995),Comedy
220,223,Clerks (1994),Comedy
222,225,Disclosure (1994),Drama|Thriller
228,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
243,246,Hoop Dreams (1994),Documentary
250,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
253,256,Junior (1994),Comedy|Sci-Fi
257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
262,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
274,277,Miracle on 34th Street (1994),Drama
277,280,Murder in the First (1995),Drama|Thriller
288,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
289,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
292,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
296,300,Quiz Show (1994),Drama
302,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
303,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
312,316,Stargate (1994),Action|Adventure|Sci-Fi
314,318,"Shawshank Redemption, The (1994)",Crime|Drama
324,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
328,333,Tommy Boy (1995),Comedy
332,337,What's Eating Gilbert Grape (1993),Drama
334,339,While You Were Sleeping (1995),Comedy|Romance
335,340,"War, The (1994)",Adventure|Drama|War
339,344,Ace Ventura: Pet Detective (1994),Comedy
344,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
345,350,"Client, The (1994)",Drama|Mystery|Thriller
348,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
